0.3422,0.8984,4.8166,0.3489

0.1859,0.9438,2.0097,0.5483

0.1396,0.9582,4.8081,0.4349

0.1073,0.9670,10.5268,0.1625

0.0910,0.9713,2.3012,0.5516

0.0752,0.9752,2.0079,0.6693

0.0644,0.9796,1.1574,0.7684

0.0574,0.9818,0.9101,0.7883

0.0537,0.9821,3.8044,0.5364

0.0440,0.9852,1.7868,0.7089

0.0422,0.9863,3.1221,0.5590

0.0382,0.9872,0.9396,0.7867

0.0324,0.9895,1.6824,0.7199

0.0318,0.9891,2.9701,0.6755

0.0284,0.9906,1.0793,0.7903

0.0277,0.9904,1.2649,0.7824

0.0267,0.9914,2.9687,0.6660

0.0244,0.9919,1.9710,0.7154

0.0219,0.9927,0.4575,0.9081

0.0207,0.9934,5.4200,0.5163

0.0192,0.9936,1.9006,0.7328

0.0194,0.9934,1.0685,0.8307

0.0167,0.9947,2.5114,0.6673

0.0193,0.9937,1.0936,0.8090

0.0160,0.9945,3.5305,0.5432

0.0164,0.9944,7.4501,0.4003

0.0146,0.9951,4.4573,0.5448

0.0139,0.9954,0.5710,0.9103

0.0138,0.9953,0.7594,0.8491

0.0123,0.9958,0.7796,0.8757
